blink_rate,gaze_score,head_deviation,focus_label
29.65,100.0,6.5,3
29.58,100.0,6.4,3
29.51,100.0,6.0,3
29.44,100.0,5.4,3
29.36,100.0,5.3,3
29.29,100.0,5.1,3
29.22,100.0,4.6,3
31.58,100.0,6.8,3
31.5,100.0,4.7,3
31.43,100.0,6.2,3
31.35,100.0,5.4,3
31.27,100.0,5.9,3
31.2,100.0,5.0,3
